LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,SCH_MATHCLASSES_ALG,SCH_MATHCERT_ALG,NCESSCH,Total_Alg1_enroll_students,Total_Alg1_pass_students
AL,ALABAMA,0102070,Lee County,00792,Loachapoka High School,10207000792,3,3,010207000792,17,15
AL,ALABAMA,0102070,Lee County,00795,Smiths Station High School,10207000795,2,2,010207000795,25,25
AL,ALABAMA,0102070,Lee County,02197,Smith Station Freshman Center,10207002197,16,16,010207002197,374,278
AL,ALABAMA,0102070,Lee County,99999,Lee County Learning Center,10207099999,1,1,010207099999,6,6
AL,ALABAMA,0102100,Limestone County,00797,Ardmore High School,10210000797,5,5,010210000797,64,230
AL,ALABAMA,0102100,Limestone County,00799,Clements High School,10210000799,1,1,010210000799,22,22
AL,ALABAMA,0102100,Limestone County,00808,Tanner High School,10210000808,5,5,010210000808,81,73
AL,ALABAMA,0102100,Limestone County,00810,West Limestone High School,10210000810,6,6,010210000810,112,152
AL,ALABAMA,0102100,Limestone County,01549,Elkmont High School,10210001549,2,2,010210001549,12,12
AL,ALABAMA,0102130,Linden City,00813,Linden High School,10213000813,32,2,010213000813,32,32
AL,ALABAMA,0102160,Lowndes County,00815,Calhoun High School,10216000815,2,0,010216000815,51,50
AL,ALABAMA,0102160,Lowndes County,00817,Central High School,10216000817,2,0,010216000817,58,57
AL,ALABAMA,0102190,Macon County,00824,Notasulga High School,10219000824,1,0,010219000824,15,13
AL,ALABAMA,0102190,Macon County,01811,Booker T Washington High,10219001811,5,4,010219001811,120,104
AL,ALABAMA,0102220,Madison County,00556,Madison County High School,10222000556,4,4,010222000556,92,71
AL,ALABAMA,0102220,Madison County,00836,Hazel Green High School,10222000836,10,10,010222000836,207,207
