LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,NCESSCH,SCH_MATHCERT_GEOM,SCH_MATHCLASSES_GEOM,Total_Geomty_enroll_students
AZ,ARIZONA,0405500,Navajo County Accommodation District #99,01237,Navajo County Instruction for Success (NCIS),040550001237,040550001237,0,1,1
AZ,ARIZONA,0405530,Nogales Unified District,00455,Nogales High School,040553000455,040553000455,1,1,3
AZ,ARIZONA,0405530,Nogales Unified District,01552,Pierson Vocational High School,040553001552,040553001552,4,4,15
AZ,ARIZONA,0405820,Page Unified District,00469,Page High School,040582000469,040582000469,3,11,188
AZ,ARIZONA,0405930,Paradise Valley Unified District,00488,North Canyon High School,040593000488,040593000488,42,42,483
AZ,ARIZONA,0405930,Paradise Valley Unified District,00491,Shadow Mountain High School,040593000491,040593000491,48,48,356
AZ,ARIZONA,0405930,Paradise Valley Unified District,01084,Horizon High School,040593001084,040593001084,44,44,437
AZ,ARIZONA,0405930,Paradise Valley Unified District,01313,Roadrunner School,040593001313,040593001313,1,1,9
AZ,ARIZONA,0405930,Paradise Valley Unified District,01553,Paradise Valley High School,040593001553,040593001553,27,27,414
AZ,ARIZONA,0405930,Paradise Valley Unified District,01995,Pinnacle High School,040593001995,040593001995,63,63,659
AZ,ARIZONA,0405930,Paradise Valley Unified District,03216,pvONLINE,040593003216,040593003216,14,14,54
AZ,ARIZONA,0405930,Paradise Valley Unified District,03431,Sweetwater Community School,040593003431,040593003431,11,11,127
AZ,ARIZONA,0405980,Parker Unified School District,00457,Parker High School,040598000457,040598000457,11,11,149
AZ,ARIZONA,0405980,Parker Unified School District,02364,Parker Alternative School,040598002364,040598002364,1,1,9
AZ,ARIZONA,0406030,Patagonia Union High School District,00499,Patagonia Union High School,040603000499,040603000499,4,4,24
AZ,ARIZONA,0406070,Payson Unified School District #10,00500,Payson High School,040607000500,040607000500,7,7,209
AZ,ARIZONA,0406070,Payson Unified School District #10,01823,Payson Center for Success High School,040607001823,040607001823,3,3,34
AZ,ARIZONA,0406070,Payson Unified School District #10,03305,Payson Center for Success - Online,040607003305,040607003305,3,3,5
AZ,ARIZONA,0406250,Peoria Unified School District,00508,Cactus High School,040625000508,040625000508,17,17,341
AZ,ARIZONA,0406250,Peoria Unified School District,00514,Peoria High School,040625000514,040625000514,21,21,436
AZ,ARIZONA,0406250,Peoria Unified School District,00589,Sunrise Mountain High School,040625000589,040625000589,22,22,485
AZ,ARIZONA,0406250,Peoria Unified School District,01315,Ironwood High School,040625001315,040625001315,26,26,518
AZ,ARIZONA,0406250,Peoria Unified School District,01500,Centennial High School,040625001500,040625001500,23,23,556
AZ,ARIZONA,0406250,Peoria Unified School District,02396,Peoria eCampus,040625002396,040625002396,1,1,1
AZ,ARIZONA,0406250,Peoria Unified School District,02426,Raymond S. Kellis,040625002426,040625002426,23,23,498
AZ,ARIZONA,0406250,Peoria Unified School District,02475,Peoria Flex Academy,040625002475,040625002475,4,4,36
AZ,ARIZONA,0406250,Peoria Unified School District,02586,Liberty High School,040625002586,040625002586,30,30,612
AZ,ARIZONA,0406330,Phoenix Union High School District,00538,Alhambra High School,040633000538,040633000538,41,41,711
AZ,ARIZONA,0406330,Phoenix Union High School District,00539,Metro Tech High School,040633000539,040633000539,26,26,491
AZ,ARIZONA,0406330,Phoenix Union High School District,00540,Camelback High School,040633000540,040633000540,37,37,591
AZ,ARIZONA,0406330,Phoenix Union High School District,00541,Carl Hayden High School,040633000541,040633000541,35,35,612
AZ,ARIZONA,0406330,Phoenix Union High School District,00542,Central High School,040633000542,040633000542,28,28,539
AZ,ARIZONA,0406330,Phoenix Union High School District,00549,Maryvale High School,040633000549,040633000549,37,37,755
AZ,ARIZONA,0406330,Phoenix Union High School District,00552,South Mountain High School,040633000552,040633000552,24,24,560
AZ,ARIZONA,0406330,Phoenix Union High School District,00554,Trevor Browne High School,040633000554,040633000554,60,60,760
AZ,ARIZONA,0406330,Phoenix Union High School District,01244,North High School,040633001244,040633001244,45,45,718
AZ,ARIZONA,0406330,Phoenix Union High School District,01382,Bostrom Alternative Center,040633001382,040633001382,2,2,17
AZ,ARIZONA,0406330,Phoenix Union High School District,01882,Cesar Chavez High School,040633001882,040633001882,28,28,565
AZ,ARIZONA,0406330,Phoenix Union High School District,02138,Linda Abril Educational Academy,040633002138,040633002138,2,2,31
AZ,ARIZONA,0406330,Phoenix Union High School District,02670,Phoenix Union Bioscience High School,040633002670,040633002670,4,4,82
AZ,ARIZONA,0406330,Phoenix Union High School District,02854,Betty Fairfax High School,040633002854,040633002854,32,32,416
AZ,ARIZONA,0406330,Phoenix Union High School District,02859,Franklin Police and Fire High School,040633002859,040633002859,4,4,72
AZ,ARIZONA,0406330,Phoenix Union High School District,03509,Phoenix Coding Academy,040633003509,040633003509,3,3,75
AZ,ARIZONA,0406330,Phoenix Union High School District,03555,Phoenix Union-Wilson College Preparatory,040633003555,040633003555,1,1,16
AZ,ARIZONA,0406580,Blue Ridge Unified School District No. 32,00561,Blue Ridge High School,040658000561,040658000561,14,14,367
AZ,ARIZONA,0406580,Blue Ridge Unified School District No. 32,03564,Blue Ridge High School Online,040658003564,040658003564,2,2,5
AZ,ARIZONA,0406730,Prescott Unified District,00568,Prescott High School,040673000568,040673000568,11,11,352
AZ,ARIZONA,0406740,Sanders Unified District,01142,Valley High School,040674001142,040674001142,0,4,45
AZ,ARIZONA,0406810,Queen Creek Unified District,01383,Queen Creek High School,040681001383,040681001383,16,18,573
AZ,ARIZONA,0406810,Queen Creek Unified District,03438,Queen Creek Virtual Academy,040681003438,040681003438,1,1,5
AZ,ARIZONA,0406850,Ray Unified District,00576,Ray JR/SR High School,040685000576,040685000576,2,2,29
AZ,ARIZONA,0406870,Red Mesa Unified District,00142,Red Mesa High School,040687000142,040687000142,3,3,40
AZ,ARIZONA,0406870,Red Mesa Unified District,02867,Red Valley/Cove High School,040687002867,040687002867,1,1,10
AZ,ARIZONA,0406960,San Carlos Unified District,00526,San Carlos High School,040696000526,040696000526,1,2,73
AZ,ARIZONA,0406960,San Carlos Unified District,02788,San Carlos Unified School District #20 Alternative Center,040696002788,040696002788,1,1,16
AZ,ARIZONA,0407130,Round Valley Unified District,01044,Round Valley High School,040713001044,040713001044,1,6,107
AZ,ARIZONA,0407130,Round Valley Unified District,03442,White Mountain Academy,040713003442,040713003442,1,1,1
AZ,ARIZONA,0407170,Saddle Mountain Unified School District,02483,Tonopah Valley High School,040717002483,040717002483,4,4,56
AZ,ARIZONA,0407240,Safford Unified District,00527,Mt Graham High School,040724000527,040724000527,2,2,22
AZ,ARIZONA,0407240,Safford Unified District,00624,Safford High School,040724000624,040724000624,6,6,149
AZ,ARIZONA,0407240,Safford Unified District,03507,Henry Dunkerson Pathways Academy,040724003507,040724003507,2,2,7
AZ,ARIZONA,0407300,Sahuarita Unified District,00626,Sahuarita High School,040730000626,040730000626,10,12,273
AZ,ARIZONA,0407300,Sahuarita Unified District,03183,Walden Grove High School,040730003183,040730003183,6,13,289
AZ,ARIZONA,0407430,San Simon Unified District,00631,San Simon School,040743000631,040743000631,1,1,12
AZ,ARIZONA,0407530,Santa Cruz Valley Union High School District,00638,Santa Cruz Valley Union High School,040753000638,040753000638,0,5,110
AZ,ARIZONA,0407570,Scottsdale Unified District,00604,Desert Mountain High School,040757000604,040757000604,11,22,503
AZ,ARIZONA,0407570,Scottsdale Unified District,00640,Arcadia High School,040757000640,040757000640,1,19,437
AZ,ARIZONA,0407570,Scottsdale Unified District,00641,Chaparral High School,040757000641,040757000641,9,24,544
AZ,ARIZONA,0407570,Scottsdale Unified District,00644,Coronado High School,040757000644,040757000644,12,19,296
AZ,ARIZONA,0407570,Scottsdale Unified District,00659,Saguaro High School,040757000659,040757000659,5,16,322
AZ,ARIZONA,0407570,Scottsdale Unified District,03250,Scottsdale Online Learning,040757003250,040757003250,2,2,4
AZ,ARIZONA,0407630,Seligman Unified District,00668,Seligman High School,040763000668,040763000668,1,1,15
AZ,ARIZONA,0407700,Show Low Unified School District,00673,Show Low High School,040770000673,040770000673,0,12,300
AZ,ARIZONA,0407750,Deer Valley Unified District,00636,Mountain Ridge High School,040775000636,040775000636,23,23,596
