LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,NCESSCH,SCH_APENR_IND,SCH_APCOURSES,SCH_APMATHENR_IND,Total_AP_math_students,Total_students_tookAP,SCH_APENR_IND_new,SCH_APMATHENR_IND_new
PA,PENNSYLVANIA,4208670,East Stroudsburg Area SD,00518,East Stroudsburg SHS North,420867000518,420867000518,Yes,15,Yes,24,48,1,1
PA,PENNSYLVANIA,4208670,East Stroudsburg Area SD,06935,East Stroudsburg SHS South,420867006935,420867006935,Yes,18,Yes,37,122,1,1
PA,PENNSYLVANIA,4208790,Eastern York SD,04564,Eastern York HS,420879004564,420879004564,Yes,10,Yes,33,27,1,1
PA,PENNSYLVANIA,4208820,Eastern Lancaster County SD,02554,Garden Spot SHS,420882002554,420882002554,Yes,8,Yes,38,136,1,1
PA,PENNSYLVANIA,4208820,Eastern Lancaster County SD,07267,Garden Spot MS,420882007267,420882007267,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4208850,Easton Area SD,03482,Easton Area HS,420885003482,420885003482,Yes,22,Yes,128,453,1,1
PA,PENNSYLVANIA,4208850,Easton Area SD,99999,EASTON AREA ACADEMY,420885099999,420885099999,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4209090,Elizabeth Forward SD,00144,Elizabeth Forward SHS,420909000144,420909000144,Yes,15,Yes,105,39,1,1
PA,PENNSYLVANIA,4209120,Elizabethtown Area SD,02562,Elizabethtown Area SHS,420912002562,420912002562,Yes,13,Yes,96,85,1,1
PA,PENNSYLVANIA,4209150,Elk Lake SD,06418,Elk Lake JSHS,420915006418,420915006418,Yes,5,Yes,13,0,1,1
PA,PENNSYLVANIA,4209240,Ellwood City Area SD,02675,Lincoln JSHS,420924002675,420924002675,Yes,6,Yes,13,48,1,1
PA,PENNSYLVANIA,4209270,Ephrata Area SD,06293,Ephrata SHS,420927006293,420927006293,Yes,10,Yes,127,85,1,1
PA,PENNSYLVANIA,4209300,Erie City SD,00273,Northwest PA Collegiate Academy,420930000273,420930000273,Yes,29,Yes,155,261,1,1
PA,PENNSYLVANIA,4209300,Erie City SD,07612,Erie HS,420930007612,420930007612,Yes,5,Yes,14,3,1,1
PA,PENNSYLVANIA,4209360,Everett Area SD,01009,Everett Area HS,420936001009,420936001009,Yes,2,Yes,4,3,1,1
PA,PENNSYLVANIA,4209480,Exeter Township SD,00788,Exeter Twp SHS,420948000788,420948000788,Yes,17,Yes,32,134,1,1
PA,PENNSYLVANIA,4209540,Fairfield Area SD,06269,Fairfield Area HS,420954006269,420954006269,Yes,3,Yes,25,33,1,1
PA,PENNSYLVANIA,4209570,Fairview SD,06737,Fairview HS,420957006737,420957006737,Yes,16,Yes,58,72,1,1
PA,PENNSYLVANIA,4209600,Karns City Area SD,01154,Karns City HS,420960001154,420960001154,Yes,7,Yes,29,34,1,1
PA,PENNSYLVANIA,4209660,Fannett-Metal SD,02201,Fannett-Metal SHS,420966002201,420966002201,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4209690,Farrell Area SD,05248,Farrell Area HS/UMS,420969005248,420969005248,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4209750,Ferndale Area SD,01225,Ferndale Area JSHS,420975001225,420975001225,Yes,2,No,0,36,1,0
PA,PENNSYLVANIA,4209780,Fleetwood Area SD,05023,Fleetwood SHS,420978005023,420978005023,Yes,11,Yes,26,61,1,1
PA,PENNSYLVANIA,4209870,Forbes Road SD,02246,Forbes Road JSHS,420987002246,420987002246,Yes,1,Yes,8,8,1,1
PA,PENNSYLVANIA,4209930,Forest City Regional SD,06419,Forest City Regional HS,420993006419,420993006419,Yes,6,Yes,5,23,1,1
PA,PENNSYLVANIA,4209933,North Central Secure Trmnt Unt,07194,North Central Secure Trmnt Unt,420993307194,420993307194,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4209940,Forest Hills SD,07586,Forest Hills JSHS,420994007586,420994007586,Yes,6,Yes,23,26,1,1
PA,PENNSYLVANIA,4209960,Fort Cherry SD,04242,Fort Cherry JSHS,420996004242,420996004242,Yes,11,Yes,13,61,1,1
PA,PENNSYLVANIA,4209990,Fort LeBoeuf SD,02037,Fort LeBoeuf SHS,420999002037,420999002037,Yes,9,Yes,53,27,1,1
PA,PENNSYLVANIA,4210070,Fox Chapel Area SD,00156,Fox Chapel Area HS,421007000156,421007000156,Yes,26,Yes,108,86,1,1
